CustomerCode,CustomerName,Market
CUST001,Zespri International Ltd,Global
CUST002,Freshmax NZ Ltd,New Zealand Domestic
CUST003,FruitLink Exports,China
CUST004,Tokyo Fresh Importers,Japan
CUST005,Seoul Produce Group,South Korea
CUST006,Taipei Fruit Traders,Taiwan
CUST007,EuroFresh Distribution,Europe
CUST008,Pacific Organics NZ,New Zealand Domestic
CUST009,Golden Orchard Exports,Middle East
CUST010,Sunrise Global Produce,Southeast Asia
CUST011,North America Fruit Co,North America
CUST012,FreshWorld Importers,Europe
CUST013,Shanghai Premium Produce,China
CUST014,Osaka Fruit Markets,Japan
CUST015,GreenLeaf Retail NZ,New Zealand Domestic
